user_id,x,y,cluster_id
c51d4492a83b,11.434254,10.53462,1
c57891ad82ed,10.203084,10.354307,3
c5850b168b1b,7.1747656,9.784856,2
c5a3d211e7ae,8.721524,7.732892,3
c5ab76d9c28f,6.3217673,8.44094,0
c6eedaa8be95,9.089527,12.022368,3
c70fc546cae1,9.415458,11.25741,3
c779e342fd14,8.753932,9.909498,3
c7ac43e9ee49,8.11991,11.235337,3
c802a23c8e42,4.768557,8.475606,2
c821037c2495,7.061409,9.611409,0
c873b5d50419,7.111416,7.955531,2
c87ec7e92f39,8.8377,8.174367,3
c91427640882,9.900088,11.720868,3
c9ea75e2113a,4.660556,7.8621707,2
c9ebcba1ba34,8.04488,9.035231,2
ca554e8748d9,8.6507015,7.7128057,3
ca80d27637a1,9.446781,11.52801,3
cafa8a84785e,5.935182,10.350344,0
cb4ac043c9a2,6.1253705,9.506189,0
cb52036d2ba0,9.7443495,9.284949,3
cb75e0242283,6.5902815,6.709052,2
cc1f59f41f51,9.488803,7.2659726,3
cc43888d2b0f,9.875031,10.465789,3
cc44be011fc8,10.421008,9.352971,3
cc831ab48d9d,9.467087,11.249288,3
cd237f294dba,8.781239,7.520864,2
cd29ce6cd432,11.442606,10.628242,1
cd5c01dd37cb,5.8972397,10.1162,0
cd8f0a22aab9,9.787572,10.59031,1
ce9e71da80de,10.07155,11.395287,3
cf027211d091,6.579135,10.296597,0
cf1e2d9e5c95,7.458434,11.183597,0
cf7ef4f07578,11.056926,10.111225,1
cfc17091b6cf,9.444075,7.6031337,3
cfe952f9994f,9.202385,11.746431,3
d0bceaecaaae,9.723059,11.616687,3
d0d71c3f7dc1,6.7879376,6.4818354,2
d160747fc117,9.633755,11.671248,3
d1708ab4ac5b,4.747854,7.8390546,2
d17355b0878f,6.529508,10.170144,0
d1907c132530,7.061512,6.8119564,2
d1939489a003,4.9386926,8.062314,0
d198e5adc768,9.76755,7.8189173,3
d1c4e8d8c4d7,4.591175,8.24596,0
d1ca95b614c6,10.522912,10.164356,3
d1cdd2427eda,8.813534,7.724633,3
d2b935343ccf,12.395701,9.84579,1
d345c9071887,9.528702,7.1691213,3
d34943bfdf8b,11.5885935,9.722386,1
d3864482b1cc,5.6235056,9.045263,0
d395c2b6bb31,5.7832403,7.5564175,2
d3b7d49f9133,6.6934495,9.725746,0
