user_id,instrument_version,stage_order,stage
2245d475c707,v1,0,registration started
2245d475c707,v1,1,registration completed
c1c4a8254e3e,v1,0,registration started
c1c4a8254e3e,v1,1,registration completed
e846935965c0,v1,0,registration started
e846935965c0,v1,1,registration completed
ca554e8748d9,v1,0,registration started
ca554e8748d9,v1,1,registration completed
5c9ef20917c1,v1,0,registration started
5c9ef20917c1,v1,1,registration completed
9b97805bcedb,v1,0,registration started
9b97805bcedb,v1,1,registration completed
65d0ed23a3a4,v1,0,registration started
65d0ed23a3a4,v1,1,registration completed
1b5222e497bf,v1,0,registration started
1b5222e497bf,v1,1,registration completed
2ad1d2577df4,v1,0,registration started
2ad1d2577df4,v1,1,registration completed
4544c32a7977,v1,0,registration started
4544c32a7977,v1,1,registration completed
92c906ae713f,v1,0,registration started
92c906ae713f,v1,1,registration completed
b094ff31751a,v1,0,registration started
b094ff31751a,v1,1,registration completed
f088ab89ff01,v1,0,registration started
f088ab89ff01,v1,1,registration completed
7298a75fed0e,v1,0,registration started
7298a75fed0e,v1,1,registration completed
7cd7675ea731,v1,0,registration started
7cd7675ea731,v1,1,registration completed
16a465fda40c,v1,0,registration started
16a465fda40c,v1,1,registration completed
ff48f45207bd,v1,0,registration started
ff48f45207bd,v1,1,registration completed
6e228243d03f,v1,0,registration started
6e228243d03f,v1,1,registration completed
7952b8c1a3a5,v1,0,registration started
7952b8c1a3a5,v1,1,registration completed
9cd63af1ae81,v1,0,registration started
9cd63af1ae81,v1,1,registration completed
512018e4b670,v1,0,registration started
512018e4b670,v1,1,registration completed
1de87f03b7cb,v1,0,registration started
1de87f03b7cb,v1,1,registration completed
5af71ce15ba4,v1,0,registration started
5af71ce15ba4,v1,1,registration completed
f6195c2e45a8,v1,0,registration started
f6195c2e45a8,v1,1,registration completed
b6447f6aca25,v1,0,registration started
b6447f6aca25,v1,1,registration completed
0e4de81613cf,v1,0,registration started
0e4de81613cf,v1,1,registration completed
7646c844148c,v1,0,registration started
7646c844148c,v1,1,registration completed
d4b0a5904697,v1,0,registration started
d4b0a5904697,v1,1,registration completed
5969c82a3eb7,v1,0,registration started
5969c82a3eb7,v1,1,registration completed
898bdb72ffa7,v1,0,registration started
898bdb72ffa7,v1,1,registration completed
a2818f285f14,v1,0,registration started
a2818f285f14,v1,1,registration completed
9293ff00b6ee,v1,0,registration started
9293ff00b6ee,v1,1,registration completed
5a37c2627cfe,v1,0,registration started
5a37c2627cfe,v1,1,registration completed
9c7a3cc59688,v1,0,registration started
9c7a3cc59688,v1,1,registration completed
6e8817a099fc,v1,0,registration started
6e8817a099fc,v1,1,registration completed
6b9263923d4f,v1,0,registration started
6b9263923d4f,v1,1,registration completed
06433e895ee5,v1,0,registration started
06433e895ee5,v1,1,registration completed
bebf0fad32f7,v1,0,registration started
bebf0fad32f7,v1,1,registration completed
533f8aeb1f13,v1,0,registration started
533f8aeb1f13,v1,1,registration completed
e9c7c306fde3,v1,0,registration started
e9c7c306fde3,v1,1,registration completed
db2f6c12f2ac,v1,0,registration started
db2f6c12f2ac,v1,1,registration completed
3b8d0cd08fe2,v1,0,registration started
3b8d0cd08fe2,v1,1,registration completed
0d79522d75ab,v1,0,registration started
0d79522d75ab,v1,1,registration completed
afd7d41bb0db,v1,0,registration started
afd7d41bb0db,v1,1,registration completed
f8df33a0bed7,v1,0,registration started
f8df33a0bed7,v1,1,registration completed
2bda216ee06e,v1,0,registration started
2bda216ee06e,v1,1,registration completed
b0e5890f08d5,v1,0,registration started
b0e5890f08d5,v1,1,registration completed
93ec90685c9f,v1,0,registration started
93ec90685c9f,v1,1,registration completed
f9cf071cedbb,v1,0,registration started
f9cf071cedbb,v1,1,registration completed
b2b053c989b4,v1,0,registration started
b2b053c989b4,v1,1,registration completed
69fe1235d290,v1,0,registration started
69fe1235d290,v1,1,registration completed
42070e3f07d1,v1,0,registration started
42070e3f07d1,v1,1,registration completed
2b3c5d49d7e6,v1,0,registration started
2b3c5d49d7e6,v1,1,registration completed
6881c4372f8a,v1,0,registration started
6881c4372f8a,v1,1,registration completed
4865387f4d2b,v1,0,registration started
4865387f4d2b,v1,1,registration completed
315b46fd8fac,v1,0,registration started
